trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': -0.01}",25,0,-22.65297669171835,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': -0.02}",20,0,-7.790762085531753,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': -0.03}",25,0,33.80494778259176,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': -0.04}",20,4,14.780641987870373,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': -0.05}",25,0,-49.81825964224188,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': -0.060000000000000005}",20,0,9.280097147965023,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': -0.07}",30,0,44.82759807756339,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': -0.08}",25,0,-21.574357802905006,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': -0.09}",20,11,-27.23625399524054,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': -0.09999999999999999}",20,0,19.67058088017303,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': -0.10999999999999999}",25,0,38.839548648610645,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': -0.11999999999999998}",20,0,32.93373594827353,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': -0.12999999999999998}",25,8,28.453869117460016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': -0.13999999999999999}",20,0,22.030191787719982,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': -0.15}",25,11,15.397805942199302,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': -0.16}",20,0,31.820187529324503,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': -0.17}",20,0,28.738642845345506,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': -0.18000000000000002}",25,0,27.574935581666992,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': -0.19000000000000003}",25,11,27.173488030806674,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.20000000000000004}",30,16,27.066022360878947,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,13.213346630617707,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,45.82550333577708,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,43.32602947912862,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,14,10.02833854635498,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,25.765375282913585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,26.295937826605556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,33.64659138246162,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,25.965999794236964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,3,29.46348367032552,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,0,50.334543789535275,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,0,30.098804869558364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,0,31.66985953822891,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,6,26.895189504304486,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,0,26.511906174185754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",20,0,27.971133551732535,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",25,0,35.1051881639534,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",20,1,33.041316350240834,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,4,23.075049842012636,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,0,33.629328816730144,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,0,24.59560983103787,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
